Rk,Name â–²,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Ben Zobrist,128,2017,36,CHC,NL,496,435,58,101,20,3,12,50,54,2,71,2,2,3,13,2,2,0.232,0.318,0.375,0.693,*479H/63
2,Brad Miller,110,2017,27,TBR,AL,407,338,43,68,13,3,9,40,63,4,110,2,0,4,5,5,3,0.201,0.327,0.337,0.664,*4HD
3,Brandon Drury,135,2017,24,ARI,NL,480,445,41,119,37,2,13,63,28,1,103,5,0,2,9,1,1,0.267,0.317,0.447,0.764,*4H/D5
4,Brandon Phillips,144,2017,36,TOT,ML,604,572,81,163,34,1,13,60,21,1,73,8,2,1,21,11,8,0.285,0.319,0.416,0.735,*45/HD
5,Brian Dozier,152,2017,30,MIN,AL,705,617,106,167,30,4,34,93,78,6,141,8,0,2,11,16,7,0.271,0.359,0.498,0.856,*4/H
6,Cesar Hernandez,128,2017,27,PHI,NL,577,511,85,150,26,6,9,34,61,1,104,4,0,1,8,15,5,0.294,0.373,0.421,0.793,*4/H6
7,Chase Utley,127,2017,38,LAD,NL,353,309,43,73,20,4,8,34,32,0,57,9,1,2,3,6,1,0.236,0.324,0.405,0.728,*4H3/D
8,Daniel Murphy,144,2017,32,WSN,NL,593,534,94,172,43,3,23,93,52,14,77,4,0,3,16,2,0,0.322,0.384,0.543,0.928,*4/H
9,Darwin Barney,129,2017,31,TOR,AL,362,336,34,78,14,0,6,25,18,0,64,2,5,1,13,7,2,0.232,0.275,0.327,0.602,*45H6/7D
10,Dee Gordon,158,2017,29,MIA,NL,695,653,114,201,20,9,2,33,25,0,93,10,2,4,7,60,16,0.308,0.341,0.375,0.716,*4/H6
11,DJ LeMahieu,155,2017,28,COL,NL,682,609,95,189,28,4,8,64,59,1,90,6,3,5,24,6,5,0.31,0.374,0.409,0.783,*4/H
12,Dustin Pedroia,105,2017,33,BOS,AL,463,406,46,119,19,0,7,62,49,4,48,2,2,4,11,4,3,0.293,0.369,0.392,0.76,*4/DH
13,Ian Kinsler,139,2017,35,DET,AL,613,551,90,130,25,3,22,52,55,2,86,7,0,0,9,14,5,0.236,0.313,0.412,0.725,*4/DH
14,Javier Baez,145,2017,24,CHC,NL,508,469,75,128,24,2,23,75,30,15,144,1,6,2,10,10,3,0.273,0.317,0.48,0.796,*4*6/H539
15,Jed Lowrie,153,2017,33,OAK,AL,645,567,86,157,49,3,14,69,73,2,100,2,0,3,10,0,1,0.277,0.36,0.448,0.808,*4D/H5
16,Joe Panik,138,2017,26,SFG,NL,573,511,60,147,28,5,10,53,46,4,54,5,3,8,10,4,1,0.288,0.347,0.421,0.768,*4/H
17,Jonathan Schoop,160,2017,25,BAL,AL,675,622,92,182,35,0,32,105,35,0,142,11,0,7,20,1,0,0.293,0.338,0.503,0.841,*4/6
18,Jonathan Villar,122,2017,26,MIL,NL,436,403,49,97,18,1,11,40,30,1,132,0,2,1,4,23,8,0.241,0.293,0.372,0.665,*4H/8D
19,Jose Altuve,153,2017,27,HOU,AL,662,590,112,204,39,4,24,81,58,3,84,9,1,4,19,32,6,0.346,0.41,0.547,0.957,*4/DH
20,Jose Peraza,143,2017,23,CIN,NL,518,487,50,126,9,4,5,37,20,1,70,7,3,1,7,23,8,0.259,0.297,0.324,0.622,*46H/8
21,Josh Harrison,128,2017,29,PIT,NL,542,486,66,132,26,2,16,47,28,2,90,23,2,3,5,12,4,0.272,0.339,0.432,0.771,*45/7H9
22,Kolten Wong,108,2017,26,STL,NL,411,354,55,101,27,3,4,42,41,11,60,12,1,3,4,8,2,0.285,0.376,0.412,0.788,*4/H
23,Logan Forsythe,119,2017,30,LAD,NL,439,361,56,81,19,0,6,36,69,1,109,4,0,5,12,3,2,0.224,0.351,0.327,0.678,*45H/763
24,Neil Walker,111,2017,31,TOT,NL,448,385,59,102,21,2,14,49,55,2,77,5,1,2,9,0,2,0.265,0.362,0.439,0.801,*43/H5
25,Robinson Cano,150,2017,34,SEA,AL,648,592,79,166,33,0,23,97,49,8,85,4,0,3,18,1,0,0.28,0.338,0.453,0.791,*4/H
26,Ronald Torreyes,108,2017,24,NYY,AL,336,315,35,92,15,1,3,36,11,0,43,1,5,4,9,2,0,0.292,0.314,0.375,0.689,*465H/D9
27,Rougned Odor,162,2017,23,TEX,AL,651,607,79,124,21,3,30,75,32,5,162,8,0,4,13,15,6,0.204,0.252,0.397,0.649,*4/HD
28,Scooter Gennett,141,2017,27,CIN,NL,497,461,80,136,22,3,27,97,30,1,114,4,0,2,15,3,2,0.295,0.342,0.531,0.874,*4H5/79D1
29,Starlin Castro,112,2017,27,NYY,AL,473,443,66,133,18,1,16,63,23,1,93,4,0,3,9,2,0,0.3,0.338,0.454,0.792,*4/HD
30,Whit Merrifield,145,2017,28,KCR,AL,630,587,80,169,32,6,19,78,29,0,88,6,1,7,13,34,8,0.288,0.324,0.46,0.784,*49/7H35
31,Yangervis Solarte,128,2017,29,SDP,NL,512,466,49,119,21,0,18,64,37,4,61,5,0,4,18,3,0,0.255,0.314,0.416,0.731,*465/3HD
32,Yolmer Sanchez,141,2017,25,CHW,AL,534,484,63,129,19,8,12,59,35,2,111,4,7,4,10,8,9,0.267,0.319,0.413,0.732,*45H/D69
