Rk,Name,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Bradley Zimmer,101,2017,24,CLE,AL,332,299,41,72,15,2,8,39,26,1,99,4,0,3,5,18,1,0.241,0.307,0.385,0.692,*8H
2,Christian Yelich,156,2017,25,MIA,NL,695,602,100,170,36,2,18,81,80,4,137,6,0,6,13,16,2,0.282,0.369,0.439,0.807,*8/H
3,Mike Trout,114,2017,25,LAA,AL,507,402,92,123,25,3,33,72,94,15,90,7,0,4,8,22,4,0.306,0.442,0.629,1.071,*8/D
4,Michael Taylor,118,2017,26,WSN,NL,432,399,55,108,23,3,19,53,29,3,137,1,1,2,3,17,7,0.271,0.32,0.486,0.806,*8/H9
5,George Springer,140,2017,27,HOU,AL,629,548,112,155,29,0,34,85,64,1,111,11,0,4,11,5,7,0.283,0.367,0.522,0.889,*8*9/DH
6,Denard Span,129,2017,33,SFG,NL,542,497,73,135,31,5,12,43,40,0,69,3,1,1,11,12,7,0.272,0.329,0.427,0.756,*8H
7,A.J. Pollock,112,2017,29,ARI,NL,466,425,73,113,33,6,14,49,35,1,71,6,0,0,8,20,6,0.266,0.33,0.471,0.801,*8/HD
8,Kevin Pillar,154,2017,28,TOR,AL,632,587,72,150,37,1,16,42,33,0,95,6,3,3,13,15,6,0.256,0.3,0.404,0.704,*8/H
9,Joc Pederson,102,2017,25,LAD,NL,323,273,44,58,20,0,11,35,39,1,68,10,0,1,7,4,3,0.212,0.331,0.407,0.738,*8H/7
10,Andrew McCutchen,156,2017,30,PIT,NL,650,570,94,159,30,2,28,88,73,5,116,4,0,3,10,11,5,0.279,0.363,0.486,0.849,*89/HD
11,Cameron Maybin,114,2017,30,TOT,AL,450,395,63,90,20,2,10,35,51,1,94,2,1,1,12,33,8,0.228,0.318,0.365,0.683,*879/HD
12,Jake Marisnick,106,2017,26,HOU,AL,259,230,50,56,10,0,16,35,20,1,90,6,2,1,5,9,4,0.243,0.319,0.496,0.815,*8H/79D
13,Manuel Margot,126,2017,22,SDP,NL,529,487,53,128,18,7,13,39,35,0,106,2,1,4,6,17,7,0.263,0.313,0.409,0.721,*8/H
14,Mikie Mahtook,109,2017,27,DET,AL,379,348,50,96,15,6,12,38,23,0,79,6,0,2,4,6,0,0.276,0.33,0.457,0.787,*897H/D
15,Adam Jones,147,2017,31,BAL,AL,635,597,82,170,28,1,26,73,27,1,113,7,1,3,18,2,1,0.285,0.322,0.466,0.787,*8
16,Ender Inciarte,157,2017,26,ATL,NL,718,662,93,201,27,5,11,57,49,3,94,0,3,4,8,22,9,0.304,0.35,0.409,0.759,*8/H
17,Odubel Herrera,138,2017,25,PHI,NL,563,526,67,148,42,3,14,56,31,4,126,4,0,2,13,8,5,0.281,0.325,0.452,0.778,*8/H
18,Guillermo Heredia,123,2017,26,SEA,AL,426,386,43,96,16,0,6,24,27,2,64,11,1,1,9,1,5,0.249,0.315,0.337,0.652,*8*7/HD9
19,Billy Hamilton,139,2017,26,CIN,NL,633,582,85,144,17,11,4,38,44,0,133,0,5,2,5,59,13,0.247,0.299,0.335,0.634,*8/H
20,Curtis Granderson,147,2017,36,TOT,NL,527,449,74,95,24,3,26,64,71,2,123,4,0,3,5,6,2,0.212,0.323,0.452,0.775,897H/D
21,Carlos Gomez,105,2017,31,TEX,AL,426,368,51,94,23,1,17,51,31,0,127,19,3,5,3,13,5,0.255,0.34,0.462,0.802,*8/HD
22,Dexter Fowler,118,2017,31,STL,NL,491,420,68,111,22,9,18,64,63,6,101,4,0,4,10,7,3,0.264,0.363,0.488,0.851,*8/HD
23,Jacoby Ellsbury,112,2017,33,NYY,AL,409,356,65,94,20,4,7,39,41,3,63,5,2,0,7,22,3,0.264,0.348,0.402,0.75,*8H/D
24,Jarrod Dyson,111,2017,32,SEA,AL,390,346,56,87,13,3,5,30,28,2,55,10,4,2,3,28,7,0.251,0.324,0.35,0.674,*87/HD
25,Rajai Davis,117,2017,36,TOT,AL,366,336,56,79,19,2,5,20,27,1,83,1,1,1,12,29,7,0.235,0.293,0.348,0.641,*87H/9D
26,Lorenzo Cain,155,2017,31,KCR,AL,645,584,86,175,27,5,15,49,54,1,100,5,0,2,20,26,2,0.3,0.363,0.44,0.803,*8/DH
27,Byron Buxton,140,2017,23,MIN,AL,511,462,69,117,14,6,16,51,38,2,150,4,5,2,1,29,1,0.253,0.314,0.413,0.728,*8/HD
28,Keon Broxton,143,2017,27,MIL,NL,463,414,66,91,15,4,20,49,40,1,175,7,1,1,3,21,7,0.22,0.299,0.42,0.719,*8H
29,Jackie Bradley,133,2017,27,BOS,AL,541,482,58,118,19,3,17,63,48,4,124,9,0,2,8,8,3,0.245,0.323,0.402,0.726,*8/H
30,Charlie Blackmon,159,2017,30,COL,NL,725,644,137,213,35,14,37,104,65,9,135,10,3,3,4,14,10,0.331,0.399,0.601,1,*8/H
31,Albert Almora,132,2017,23,CHC,NL,323,299,39,89,18,1,8,46,19,1,53,0,3,2,8,1,0,0.298,0.338,0.445,0.782,*8H/79
